"recursive__random__001","recursive__random__002","recursive__random__003","recursive__random__004","recursive__random__005","recursive__ordered_decreasing__001","recursive__ordered_decreasing__002","recursive__ordered_decreasing__003","recursive__ordered_decreasing__004","recursive__ordered_decreasing__005","recursive__ordered__001","recursive__ordered__002","recursive__ordered__003","recursive__ordered__004","recursive__ordered__005","recursive__partial_ordered__001","recursive__partial_ordered__002","recursive__partial_ordered__003","recursive__partial_ordered__004","recursive__partial_ordered__005","iterative__random__001","iterative__random__002","iterative__random__003","iterative__random__004","iterative__random__005","iterative__ordered_decreasing__001","iterative__ordered_decreasing__002","iterative__ordered_decreasing__003","iterative__ordered_decreasing__004","iterative__ordered_decreasing__005","iterative__ordered__001","iterative__ordered__002","iterative__ordered__003","iterative__ordered__004","iterative__ordered__005","iterative__partial_ordered__001","iterative__partial_ordered__002","iterative__partial_ordered__003","iterative__partial_ordered__004","iterative__partial_ordered__005"
"5.56459999643266E-05","4.32130036642775E-05","4.29939973400906E-05","4.14370006183162E-05","4.15390022681095E-05","3.62579958164133E-05","3.40120022883639E-05","3.3210999390576E-05","3.30250040860847E-05","3.30629991367459E-05","3.38300014846027E-05","3.04109998978674E-05","3.0502000299748E-05","3.02560001728125E-05","3.00699975923635E-05","3.83770020562224E-05","3.62589998985641E-05","3.59269979526289E-05","3.58719989890233E-05","3.58759934897535E-05","5.50080003449693E-05","5.19999957759865E-05","5.09570018039085E-05","5.07130025653169E-05","5.03830015077256E-05","4.39419964095578E-05","4.28800049121492E-05","4.22759985667653E-05","4.20899959863164E-05","4.21020013163798E-05","3.957800072385E-05","3.94489979953505E-05","3.89760025427677E-05","3.90880013583228E-05","3.88580010621808E-05","4.53780012321658E-05","4.49489962193184E-05","4.46269987151027E-05","4.43880053353496E-05","4.44590041297488E-05"
"9.31969989323989E-05","9.10259986994788E-05","9.13979965844192E-05","9.13260009838268E-05","9.10790040506981E-05","7.05870043020695E-05","6.96559945936315E-05","6.96440038154833E-05","7.00469972798601E-05","6.97569994372316E-05","6.36140030110255E-05","6.28120033070445E-05","6.29529968136922E-05","6.27420013188384E-05","6.33719973848201E-05","6.80289958836511E-05","6.76830022712238E-05","6.76019990351051E-05","6.78630021866411E-05","6.74890034133568E-05","0.00010846499935723841","0.00010791000386234373","0.00010804900375660509","0.00010819400631589815","0.00010794700210681185","8.72380041982979E-05","8.66589980432764E-05","8.66900008986704E-05","8.64169996930286E-05","8.98200014489703E-05","8.09840057627298E-05","7.99800036475062E-05","8.03959992481396E-05","8.00819980213419E-05","8.19859997136518E-05","8.51549993967637E-05","8.46330003696494E-05","8.45670001581311E-05","8.39049971546046E-05","8.426600106759E-05"
"0.00025588100106688216","0.00025224199634976685","0.0002512970022507943","0.00025204499979736283","0.00025347799964947626","0.0002802200033329427","0.00024970700178528205","0.0002979790006065741","0.00019298400002298877","0.00019374299881746992","0.00017202900198753923","0.00016784400213509798","0.0001668839977355674","0.0001668940021772869","0.00018158400052925572","0.00017979599942918867","0.00017334499716525897","0.00017465100245317444","0.0001737300044624135","0.0001758170037646778","0.0002938409961643629","0.0003090230020461604","0.00029204900056356564","0.00029140099650248885","0.00029356299637584016","0.00038355500146280974","0.0003729860036401078","0.0003952270053559914","0.00023622699518455192","0.00023220499861054122","0.00022121100482763723","0.00021103299513924867","0.00020882199896732345","0.00020983099966542795","0.00021651700080838054","0.00021945899788988754","0.00022174200421432033","0.00021561700123129413","0.00021888999617658556","0.00021729299623984843"
"0.0005638459988404065","0.0005537750039366074","0.0005488219976541586","0.0005502670028363355","0.0007398020024993457","0.000381145000574179","0.0006144420040072873","0.00039362099778372794","0.00038937000499572605","0.00038794799911556765","0.00036526799522107467","0.00035739199665840715","0.0003561430057743564","0.00035729099909076467","0.0003632360021583736","0.0003556380033842288","0.000355440002749674","0.00035419699997873977","0.00035578099777922034","0.00035883000236935914","0.0006315680002444424","0.000626173998170998","0.0006285069976001978","0.000626205001026392","0.0008093519936664961","0.0007193269993877038","0.0005242179977358319","0.0004961239974363707","0.00047192499914672226","0.00048081900604302064","0.000451908003014978","0.000440697003796231","0.0004406950029078871","0.0004411449990584515","0.00045285100350156426","0.00043649800500134006","0.0004370300011942163","0.0004370520036900416","0.0004379129968583584","0.00044826600060332566"
"0.0014368949996423908","0.0012598030007211491","0.0012520180025603622","0.0012243189994478598","0.001578802999574691","0.0012075229969923384","0.000871764998009894","0.0008158999989973381","0.0007967790006659925","0.0007894630034570582","0.0007400739996228367","0.0007415189975290559","0.000985922000836581","0.0007578250006190501","0.0007461319983121939","0.000738497001293581","0.0007378020018222742","0.0009255429977201857","0.0007372250038315542","0.0007431310004903935","0.0014466970023931935","0.001431819997378625","0.0013805010021314956","0.0013766670017503202","0.0013734569947700948","0.0010300249996362254","0.0010145709966309369","0.0009822619977057911","0.0009567079978296533","0.0009565600048517808","0.0009209449999616481","0.0009175360028166324","0.0009182270005112514","0.0009225260000675917","0.0009108619997277856","0.0009075769994524308","0.0009157570020761341","0.0011039259989047423","0.0008999820056487806","0.001394681996316649"
"0.0033812179972301237","0.003115093997621443","0.00317087399889715","0.0032219390050158836","0.0032051750022219494","0.0021066319968667813","0.002220791000581812","0.002454610999848228","0.002100263998727314","0.0022203289991011843","0.0019418610027059913","0.0019884459979948588","0.0019988310014014132","0.0019376879936316982","0.0022984050010563806","0.0019782519957516342","0.001967815995158162","0.0023230079968925565","0.001976494000700768","0.001977017003810033","0.003584585996577516","0.003905372999724932","0.003508203000819776","0.004209687998809386","0.003590402993722819","0.002495522996468935","0.00261296599637717","0.0025382120002177544","0.0032165270022233017","0.0025914700017892756","0.0023489349987357855","0.002727613005845342","0.0027117680001538247","0.0023679689984419383","0.0027539829970919527","0.002379186000325717","0.0023790269988239743","0.0025732559952302836","0.002411452995147556","0.0023798679976607673"
"0.00530653000168968","0.0057772560030571185","0.004992657006368972","0.005147823001607321","0.005066899000667036","0.0033399140011169948","0.0036333789976197295","0.0033480470010545105","0.0033857389935292304","0.0033378359948983416","0.0033883579963003285","0.003135658997052815","0.003938185996958055","0.0031429099981323816","0.003179786006512586","0.00311798899929272","0.0032022129962570034","0.003039212999283336","0.0032328969973605126","0.0030918560005375184","0.005732775003707502","0.005814476004161406","0.006456778995925561","0.006138275995908771","0.005587012994510587","0.0038537669970537536","0.004345209999883082","0.004121712998312432","0.004567563002638053","0.004085635999217629","0.0039015810034470633","0.0036668510001618415","0.0038035519974073395","0.003878607996739447","0.0037457260041264817","0.003733641999133397","0.0036885570007143542","0.003763155000342522","0.0036924399973941036","0.003919288996257819"
"0.006818566005676985","0.006837862005340867","0.00687407700024778","0.006842504000815097","0.006977071003348101","0.004443537996849045","0.004559707005682867","0.00468214900320163","0.0044445020030252635","0.004443354002432898","0.004144091006310191","0.004250350997608621","0.004195282002910972","0.004201599003863521","0.0042422309998073615","0.004201650001050439","0.004130618995986879","0.00430831300036516","0.004140489996643737","0.004197344998829067","0.007966965000377968","0.007932833999802824","0.007850419999158476","0.007856130003347062","0.007799875995260663","0.005377147994295228","0.005347480997443199","0.005355153996788431","0.005444827002065722","0.005333950997737702","0.004990514004020952","0.005041677999543026","0.005055831999925431","0.0050009459955617785","0.0049697139984345995","0.005106014999910258","0.00497727300535189","0.005020153999794275","0.005139410000992939","0.005016673996578902"
"0.010829672995896544","0.010942992994387168","0.01075034899986349","0.01062392299354542","0.010797080001793802","0.007020278004347347","0.0070885929962969385","0.0070525510018342175","0.007022202997177374","0.007003733000601642","0.006476632006524596","0.006533544998092111","0.006516683999507222","0.00654386100359261","0.00649895300011849","0.006453485002566595","0.006662250001681969","0.0066122729986091144","0.0066438330031814985","0.006519811002362985","0.012150187001680024","0.012086825998267159","0.012025387004541699","0.0118848150013946","0.011940396994759794","0.008289915000204928","0.008357993996469304","0.008361779000551905","0.008278132001578342","0.008272073995613027","0.007915554000646807","0.007935825000458863","0.007766912000079174","0.007776184000249486","0.007824603999324609","0.007847585999115836","0.007824621003237553","0.007709963996603619","0.007772988996293861","0.007670126004086342"
"0.023001575995294843","0.02282159300375497","0.022734168996976223","0.022781888997997157","0.022853896000015084","0.015551732998574153","0.014944856004149187","0.015043600003991742","0.015211785997962579","0.015225144998112228","0.014535089001583401","0.014272102001996245","0.014252754997869488","0.014260336000006646","0.014267701000790112","0.014403230001335032","0.01419869699748233","0.014282967000326607","0.014347803000418935","0.014176040000165813","0.025268216006224975","0.02511878399673151","0.0251735159981763","0.025189281994244084","0.025190882006427273","0.017995762995269615","0.017748377998941578","0.017739251001330558","0.017748605998349376","0.017746960002114065","0.0167792290012585","0.016881292998732533","0.016753413998230826","0.01677691900113132","0.01689712900406448","0.016927299999224488","0.016803715996502433","0.016848018000018783","0.016725471999961883","0.01672757600317709"
